ENTIDAD,NOMBRE ENTIDAD,DISTRITO,DISTRITO LOCAL,MUNICIPIO,SECCION,Contest_id
9,CIUDAD DE MEXICO,2,4,5,1273,102
9,CIUDAD DE MEXICO,2,4,5,1274,102
9,CIUDAD DE MEXICO,2,4,5,1275,102
9,CIUDAD DE MEXICO,2,4,5,1276,102
9,CIUDAD DE MEXICO,2,4,5,1277,102
9,CIUDAD DE MEXICO,2,4,5,1278,102
9,CIUDAD DE MEXICO,2,4,5,1279,102
9,CIUDAD DE MEXICO,2,4,5,1280,102
9,CIUDAD DE MEXICO,2,4,5,1281,102
9,CIUDAD DE MEXICO,2,4,5,1282,102
9,CIUDAD DE MEXICO,2,4,5,1283,102
9,CIUDAD DE MEXICO,2,4,5,1284,102
9,CIUDAD DE MEXICO,2,4,5,1285,102
9,CIUDAD DE MEXICO,2,4,5,1286,102
9,CIUDAD DE MEXICO,2,4,5,1287,102
9,CIUDAD DE MEXICO,2,4,5,1288,102
9,CIUDAD DE MEXICO,2,4,5,1294,102
9,CIUDAD DE MEXICO,2,4,5,1296,102
9,CIUDAD DE MEXICO,2,4,5,1302,102
9,CIUDAD DE MEXICO,2,4,5,1305,102
9,CIUDAD DE MEXICO,2,4,5,1306,102
9,CIUDAD DE MEXICO,2,4,5,1307,102
9,CIUDAD DE MEXICO,2,4,5,1308,102
9,CIUDAD DE MEXICO,2,4,5,1309,102
9,CIUDAD DE MEXICO,2,4,5,1310,102
9,CIUDAD DE MEXICO,2,4,5,1311,102
9,CIUDAD DE MEXICO,2,4,5,1312,102
9,CIUDAD DE MEXICO,2,4,5,1313,102
9,CIUDAD DE MEXICO,2,4,5,1317,102
9,CIUDAD DE MEXICO,2,4,5,1318,102
9,CIUDAD DE MEXICO,2,4,5,1319,102
9,CIUDAD DE MEXICO,2,4,5,1320,102
9,CIUDAD DE MEXICO,2,4,5,1321,102
9,CIUDAD DE MEXICO,2,4,5,1322,102
9,CIUDAD DE MEXICO,2,4,5,1508,102
9,CIUDAD DE MEXICO,2,4,5,1509,102
9,CIUDAD DE MEXICO,2,4,5,1510,102
9,CIUDAD DE MEXICO,2,4,5,1511,102
9,CIUDAD DE MEXICO,2,4,5,1512,102
9,CIUDAD DE MEXICO,2,4,5,1513,102
9,CIUDAD DE MEXICO,2,4,5,1514,102
9,CIUDAD DE MEXICO,2,4,5,1515,102
9,CIUDAD DE MEXICO,2,4,5,1516,102
9,CIUDAD DE MEXICO,2,4,5,1529,102
9,CIUDAD DE MEXICO,2,4,5,1530,102
9,CIUDAD DE MEXICO,2,4,5,1531,102
9,CIUDAD DE MEXICO,2,4,5,1532,102
9,CIUDAD DE MEXICO,2,4,5,1533,102
9,CIUDAD DE MEXICO,2,4,5,1534,102
9,CIUDAD DE MEXICO,2,4,5,1535,102
